Name,*,Boro,2015,2016,2017,2018,2019,2020,2019-2020 Change,,2020 Rank
Woodlawn (4),,Bx,"8,724","8,010","7,271","7,251","7,255","2,594","-4,661",-64.2%,220
Zerega Av (6),8,Bx,"1,327","2,080","2,253","2,274","2,100",988,"-1,112",-53.0%,385
"15 St-Prospect Park (F,G)",,B,"7,103","6,272","5,968","5,622","6,526","1,862","-4,664",-71.5%,292
18 Av (D),,B,"6,073","6,681","6,807","6,328","6,534","2,327","-4,207",-64.4%,236
18 Av (F),,B,"4,663","3,787","3,271","2,807","3,280","1,375","-1,905",-58.1%,338
18 Av (N),9,B,"6,996","2,602","3,695","3,516","4,402","1,852","-2,550",-57.9%,294
20 Av (D),,B,"5,252","5,656","5,584","5,191","5,374","1,923","-3,451",-64.2%,285
20 Av (N),10,B,"3,701","1,176","2,194","3,286","3,669","1,328","-2,341",-63.8%,342
25 Av (D),,B,"4,827","6,064","5,798","5,078","4,854","1,665","-3,189",-65.7%,311
25 St (R),,B,"4,434","4,071","4,012","3,555","3,703","1,379","-2,325",-62.8%,336
"36 St (D,N,R)",,B,"16,290","16,191","18,871","15,943","15,917","5,258","-10,658",-67.0%,89
"4 Av (F,G)/9 St (R)",,B,"15,860","14,654","14,351","13,111","13,444","4,185","-9,259",-68.9%,127
45 St (R),,B,"8,620","7,805","7,054","7,643","8,908","2,954","-5,954",-66.8%,185
50 St (D),,B,"2,672","2,902","2,934","2,733","2,686","1,426","-1,260",-46.9%,330
53 St (R),11,B,"8,678","8,148","4,009","8,258","10,117","3,738","-6,379",-63.1%,145
55 St (D),,B,"1,525","1,758","1,729","1,681","1,634",902,-732,-44.8%,393
"59 St (N,R)",,B,"15,344","14,917","19,650","15,980","14,830","4,458","-10,373",-69.9%,117
"7 Av (B,Q)",,B,"9,731","8,581","11,619","9,720","9,335","2,754","-6,581",-70.5%,203
"7 Av (F,G)",,B,"13,202","12,325","11,570","11,300","12,067","3,593","-8,474",-70.2%,154
71 St (D),,B,"4,808","6,732","6,434","5,811","5,866","1,972","-3,894",-66.4%,277
77 St (R),,B,"5,448","5,247","4,881","4,553","4,584","1,913","-2,671",-58.3%,287
79 St (D),,B,"5,856","6,494","6,630","5,956","6,180","2,230","-3,950",-63.9%,245
8 Av (N),,B,"15,960","17,252","16,278","14,040","15,213","3,893","-11,320",-74.4%,136
86 St (N),12,B,"3,023","1,578","1,900","2,165","2,580",998,"-1,583",-61.3%,383
86 St (R),,B,"12,889","12,263","9,662","10,657","10,441","4,203","-6,238",-59.7%,125
9 Av (D),,B,"6,372","6,541","6,297","5,560","6,029","2,208","-3,821",-63.4%,249
Alabama Av (J),,B,"3,163","3,206","2,540","1,930","1,768",921,-848,-47.9%,390
Atlantic Av (L),13,B,"1,267","1,179","1,728","1,647","1,165",624,-541,-46.4%,408
"Atlantic Av-Barclays Ctr (B,D,N,Q,R,2,3,4,5)",,B,"54,221","53,638","53,133","51,838","53,013","14,957","-38,056",-71.8%,15
Avenue H (Q),,B,"2,506","2,590","2,948","3,000","2,502","1,080","-1,422",-56.8%,373
Avenue I (F),14,B,"1,874","1,529",783,835,"1,411",717,-693,-49.2%,403
Avenue J (Q),,B,"5,782","5,524","6,327","6,098","5,261","2,185","-3,076",-58.5%,254
Avenue M (Q),,B,"4,345","4,246","5,091","5,064","4,402","2,085","-2,316",-52.6%,263
Avenue N (F),15,B,"2,888","2,320","1,417","1,447","2,255","1,074","-1,181",-52.4%,375
Avenue P (F),16,B,"2,628","2,244","1,290","1,318","2,060",912,"-1,148",-55.7%,392
