Name,*,Boro,2015,2016,2017,2018,2019,2020,2019-2020 Change,,2020 Rank
"30 Av (N,W)",54,Q,"14,771","14,739","11,381","8,286","17,906","5,579","-12,327",-68.8%,100
33 St-Rawson St (7),,Q,"13,604","13,302","12,429","11,029","10,574","3,433","-7,140",-67.5%,184
"36 Av (N,W)",55,Q,"7,447","7,347","5,525","5,073","6,602","2,672","-3,930",-59.5%,238
"36 St (M,R)",,Q,"4,733","4,776","4,786","5,177","4,725","1,619","-3,106",-65.7%,339
"39 Av-Dutch Kills (N,W)",56,Q,"3,391","3,207","3,267","2,356","2,555","1,230","-1,325",-51.8%,379
40 St-Lowery St (7),,Q,"11,053","11,089","10,624","9,954","10,028","3,960","-6,069",-60.5%,164
"46 St (M,R)",,Q,"9,439","9,362","9,049","8,752","8,556","3,376","-5,180",-60.5%,189
46 St-Bliss St (7),,Q,"14,413","14,335","13,614","12,828","12,702","5,521","-7,181",-56.5%,103
52 St (7),,Q,"6,888","6,795","6,495","6,001","6,079","2,661","-3,418",-56.2%,241
"63 Dr-Rego Park (M,R)",,Q,"16,770","16,868","16,323","15,574","15,567","6,330","-9,237",-59.3%,86
"65 St (M,R)",,Q,"3,762","3,747","3,621","3,601","3,554","1,480","-2,074",-58.3%,351
"67 Av (M,R)",,Q,"9,548","9,479","9,181","8,774","8,881","3,380","-5,501",-61.9%,188
69 St (7),,Q,"4,988","5,072","4,973","4,679","4,818","2,267","-2,552",-53.0%,281
"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",,Q,"51,925","52,296","52,018","51,766","52,159","22,913","-29,246",-56.1%,9
"75 Av (E,F)",,Q,"3,756","3,710","3,365","3,455","3,549","1,308","-2,241",-63.2%,372
"75 St-Elderts Ln (J,Z)",,Q,"3,837","3,837","3,641","3,464","3,573","1,661","-1,911",-53.5%,337
80 St (A),57,Q,"4,445","3,574","4,416","4,316","4,274","1,801","-2,473",-57.9%,324
82 St-Jackson Hts (7),,Q,"15,711","15,765","15,393","14,626","15,056","7,028","-8,028",-53.3%,71
85 St-Forest Pkwy (J),,Q,"3,947","3,968","3,923","3,699","3,669","1,747","-1,922",-52.4%,328
88 St (A),58,Q,"3,464","3,221","2,965","2,835","2,860","1,274","-1,586",-55.4%,376
90 St-Elmhurst Av (7),,Q,"16,814","16,957","16,848","16,253","16,365","8,217","-8,148",-49.8%,58
Aqueduct Racetrack (A),,Q,"1,711","1,739","1,672","1,901","1,594",448,"-1,146",-71.9%,417
Aqueduct-North Conduit Av (A),,Q,"1,181","1,125","1,031",921,893,359,-533,-59.7%,418
"Astoria Blvd (N,W)",59,Q,"12,344","12,358","13,103","14,425","2,410","3,324",914,37.9%,193
"Astoria-Ditmars Blvd (N,W)",,Q,"17,181","17,345","16,686","15,663","17,912","6,363","-11,549",-64.5%,85
"Beach 105 St (A,S)",,Q,305,289,278,261,243,103,-141,-57.8%,424
Beach 25 St (A),,Q,"1,861","1,968","1,925","1,792","1,720",832,-888,-51.6%,406
Beach 36 St (A),,Q,936,975,962,887,951,472,-479,-50.3%,416
Beach 44 St (A),,Q,624,676,690,693,699,347,-352,-50.3%,420
Beach 60 St (A),,Q,"2,501","2,507","2,319","2,013","2,008",980,"-1,029",-51.2%,397
Beach 67 St-Arverne By The Sea (A),,Q,"2,407","2,493","2,440","2,103","2,252","1,116","-1,136",-50.4%,389
"Beach 90 St (A,S)",,Q,946,939,"1,110","1,097",946,358,-588,-62.2%,419
"Beach 98 St (A,S)",,Q,608,579,531,481,478,189,-288,-60.4%,422
"Briarwood-Van Wyck Blvd (E,F)",,Q,"4,876","5,057","5,061","4,913","4,970","2,054","-2,916",-58.7%,300
"Broad Channel (A,S)",,Q,310,313,302,285,313,121,-192,-61.4%,423
"Broadway (N,W)",60,Q,"13,236","12,957","13,242","8,473","10,195","4,530","-5,665",-55.6%,134
"Court Sq (E,G,M,7)",,Q,"22,717","23,317","23,672","23,995","23,600","7,877","-15,723",-66.6%,61
"Elmhurst Av (M,R)",,Q,"13,588","13,508","12,967","12,463","12,362","5,460","-6,901",-55.8%,106
Far Rockaway-Mott Av (A),,Q,"4,989","5,009","4,738","4,435","4,388","2,280","-2,109",-48.0%,279
Flushing-Main St (7),,Q,"60,226","60,259","58,511","55,669","56,503","22,786","-33,716",-59.7%,10
Forest Av (M),61,Q,"4,386","4,429","2,819","3,124","4,235","1,980","-2,255",-53.2%,307
